dp_id,audio_url,nativity_status,language
531,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1056/1421/02c1b756-4e6d-4d18-ae90-9d2d6abc25b4.mp3,-,Arabic_AE
592,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1056/1397/280b41c1-2e9c-4cfc-8e7d-2eead7146087.mp3,-,Arabic_AE
564,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1055/1520/edf50c74-0455-46ef-a137-5cccf9e605f6.mp3,-,Arabic_QA
646,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1057/1614/65cbd62d-c7e9-427c-887a-e0823abf0e93.mp3,-,Arabic_SA
558,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1057/1515/66eeacf6-64d4-434b-9bb8-cfbfed478465.wav,-,Arabic_SA
542,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1057/1479/15301201-f0d8-4ad3-a93a-cbc1a9fda394.mp3,-,Arabic_SA
445,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1056/1345/7f84fe7d-4520-4938-89dd-41d1096137d6.wav,-,Arabic_AE
429,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1057/1316/8e87c201-5085-474d-8b69-dfa9dd21611c.mp3,-,Arabic_SA
450,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1057/1350/c6064f0b-1f10-47d8-bef0-f8827216e5a6.wav,-,Arabic_SA
593,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1055/1336/a5d82571-cfd5-4de9-99c5-4181da0abe98.mp3,-,Arabic_QA
610,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1055/1584/e86a04c8-6b2d-410a-9070-70f30987c1f9.wav,-,Arabic_QA
324,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1055/1152/b0292374-d99a-41b3-ba4c-b333f11b3cd9.wav,-,Arabic_QA
422,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1055/1317/d45f5fce-b4d7-46aa-95ef-212d38ad69df.mp3,-,Arabic_QA
512,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1055/1326/79ad5534-a6e5-4c14-ba33-32f5dcdee01e.wav,-,Arabic_QA
641,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1057/1629/df8c445a-e7d1-45ca-97ca-979523f04cc5.mp3,-,Arabic_SA
418,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1057/1305/309d2c0f-58c9-434a-9933-5fe6c6fe7ec0.wav,-,Arabic_SA
358,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1055/1153/2b2d81af-4d3f-4353-a189-a12092a377aa.wav,-,Arabic_QA
456,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1055/1127/0d2947eb-a583-4c30-b221-2a10611fb04f.wav,-,Arabic_QA
582,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1057/1545/77edc99b-9c61-4285-b524-adb6d30ce9df.wav,-,Arabic_SA
660,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1055/1674/776cb7e6-ad12-481b-a4ce-6ecd070f6e8f.mp3,-,Arabic_QA
289,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1056/1028/abaa0ba6-7667-4a2e-ac82-43add44e642d.mp3,-,Arabic_AE
633,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1055/1623/b96b826c-5c16-43f4-b6ac-e9436bb044db.mp3,-,Arabic_QA
350,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1055/1162/df2073cf-6613-4e90-83ae-cb585db93836.oga,-,Arabic_QA
381,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1057/1207/f660bd7d-625e-40f8-978f-27f2d6e541ac.mp3,-,Arabic_SA
528,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1056/1453/69dd0d46-c956-4535-a3d9-883f8f8b7642.mp3,-,Arabic_AE
415,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1055/1298/8f643325-f08c-43cc-84d7-43237318874f.mp3,-,Arabic_QA
595,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1056/1207/584d6d23-73e2-4eb9-99cd-aa7a824f4e14.mp3,-,Arabic_AE
469,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1056/1376/e46e917c-efb0-4825-b906-09f46f04a791.wav,-,Arabic_AE
587,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1056/1398/fb32d594-faeb-40a0-9033-aaeea38c8ae0.mp3,-,Arabic_AE
561,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1057/1512/a037102a-0a26-48a2-954f-60f6672ec13c.mp3,-,Arabic_SA
426,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1055/1254/f79b3e43-9db3-46ad-b777-48a42b76fe35.mp3,-,Arabic_QA
499,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1054/1272/cc425ccb-af1b-4bf8-8901-60167964e8b1.wav,-,Arabic_KW
505,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1057/1279/573608c4-b27e-4ce6-be16-1ebc769bb0ca.wav,-,Arabic_SA
541,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1056/1471/05289f20-d86c-4881-ab92-3c7517da5258.mp3,-,Arabic_AE
471,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1057/1352/f85022cd-63ae-4bfb-8632-6ee6409f8a00.wav,-,Arabic_SA
553,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1057/1480/ae27058c-fe88-4e4b-907b-a3540951003f.mp3,-,Arabic_SA
526,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1055/1444/3404d0de-3d93-4ddb-92ba-495cb957eff3.wav,-,Arabic_QA
423,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1054/1287/007b3db8-0b8d-49b5-bd14-a9dc37c33f0a.wav,-,Arabic_KW
359,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1055/1198/d3b23d02-13c9-434f-b1cb-4ebb70677b6f.mp3,-,Arabic_QA
589,https://d2r5sftrozu18z.cloudfront.net/uploads/data_production/1057/1568/feb6b16c-3bf8-4e2e-9175-38a6b7481dd5.wav,-,Arabic_SA
